Class,All_percent_mean,All_percent_std,Mono_percent_mean,Mono_percent_std,Poly_percent_mean,Poly_percent_std,Median_FC_log2_poly_all,Median_p_poly_all,Median_FDR_poly_all,Median_FC_log2_poly_mono,Median_p_poly_mono,Median_FDR_poly_mono
1,0.024645792067317,0.0141965996494384,0.0254066309351362,0.016280067852293,0.0322380210998691,0.0207357128658032,0.238786859587117,2.08907616410139e-05,3.24967403304661e-05,0.234694104953234,3.57890055683838e-05,6.26307597446716e-05
2a,0.0830169467869055,0.0312395124923391,0.0803838375531447,0.0320959292133255,0.0941903972933209,0.054543526558779,0.106863781021142,0.0675247150114997,0.078778834180083,0.135514970656481,0.00365654572792498,0.00465378547190452
2e,0.0595125590868278,0.0201446201811819,0.0618465134145889,0.0216490140387111,0.0615678852548269,0.0355659963590502,-0.0830557397275585,0.215452549310762,0.216456614025249,-0.164813210929834,0.0264286672629339,0.0308334451400895
3,0.159841435618935,0.0407028358681422,0.167105459521564,0.0447751136336512,0.141906661680118,0.055436288001528,-0.195564910301391,6.58969264722706e-09,1.31793852944541e-08,-0.28542730070477,1.08826093401867e-13,3.04713061525229e-13
4,0.409610184524213,0.0566590490987591,0.413350598159173,0.0602624888721361,0.400390103239472,0.08894266091246,-0.0566295746713454,0.0154226800026418,0.0196288654579077,-0.0703563979383183,0.00263649818023423,0.00369109745232792
5,0.0846870488719159,0.0374506454186214,0.0703108447033399,0.0350604156372605,0.129678145566412,0.067121126512614,0.554693059534546,9.20456953648715e-24,6.44319867554101e-23,0.874427860926537,1.96892951393832e-40,2.75650131951364e-39
6a,0.0198673173840067,0.0125996677611911,0.0182815383251343,0.0133025772351911,0.0383747256644735,0.0261117960575093,0.944858445807539,2.18609912791237e-29,3.06053877907731e-28,1.16635838642212,2.05619579386581e-35,1.43933705570607e-34
6e,0.041046206962394,0.0161723959038964,0.0382647833767318,0.0166806002174861,0.0583380725651463,0.0351947116629466,0.302562770020431,5.60369896798985e-10,1.30752975919763e-09,0.450661409009565,7.94285386451333e-15,2.77999885257967e-14
7,0.0194299750975525,0.00943001349214906,0.0205256651710254,0.0106648253657854,0.0291585592788884,0.0196126205184066,0.43032101586525,1.73395046983298e-11,4.85506131553233e-11,0.370368449945116,8.87032632397059e-09,1.77406526479412e-08
8,0.0423884910211148,0.0178447493655965,0.0440717873022919,0.0201736096137537,0.0481091435342457,0.0294832473395613,0.00612610279684171,0.216456614025249,0.216456614025249,-0.0673230248436144,0.590682344429693,0.636119447847362
