Class,1,2a,2e,3,4,5,6a,6e,7,8
1,0.0566610005666099,0.435488366057011,0.288786910782606,0.141771537132001,0.013998600139986,0.247162783721628,0.253156502531565,0.435488366057011,0.102035251020353,0.303995574468527
2a,0.00222200002221975,0.000714214292856429,0.45760730049444,0.000714214292856429,0.000714214292856429,0.107815305425979,0.000714214292856429,0.0829185374145512,0.427658383586929,0.370926762745412
2e,0.370926762745412,0.277972202779722,0.010433739234772,0.277972202779722,0.435488366057011,0.0174982501749826,0.247162783721628,0.0787421257874213,0.0090900000909,0.370926762745412
3,0.111052724514783,0.0787421257874213,0.0157676540038304,0.000714214292856429,0.39290188628196,0.0229977002299771,0.349090090990901,0.0162946668296132,0.288786910782606,0.448080191980802
4,0.00176452942941029,0.000714214292856429,0.0992923963417612,0.03587876506467,0.137077201370772,0.000714214292856429,0.000714214292856429,0.0243725627437255,0.281239481685634,0.137077201370772
5,0.12998700129987,0.125187481251875,0.000714214292856429,0.000714214292856429,0.000714214292856429,0.000714214292856429,0.0206875864137724,0.25468041431151,0.00476142861904286,0.000714214292856429
6a,0.475852414758524,0.12783035421948,0.253156502531565,0.00315757897894421,0.000714214292856429,0.15274334635502,0.0635071627972338,0.435488366057011,0.10554500105545,0.0374248289456769
6e,0.0878483580213407,0.125187481251875,0.394611701620536,0.199480051994801,0.247162783721628,0.0133320001333199,0.247162783721628,0.0747293691683465,0.44995500449955,0.0243725627437255
7,0.0330270003302701,0.349090090990901,0.287054627870546,0.288786910782606,0.435488366057011,0.00349965003499653,0.30907165693687,0.381866575247237,0.179812527221854,0.117696563676966
8,0.15274334635502,0.435488366057011,0.25468041431151,0.137077201370772,0.435488366057011,0.00176452942941029,0.00176452942941029,0.288786910782606,0.47005400470054,0.438377214910088
