Class,1,2a,2e,3,4,5,6a,6e,7,8
1,0.0203979602039795,0.401959804019598,0.212378762123788,0.0793920607939206,0.0034996500349965,0.157184281571843,0.167083291670833,0.386061393860614,0.0448955104489551,0.234076592340766
2a,0.000399960003999555,9.99900009999e-05,0.448455154484552,9.99900009999e-05,9.99900009999e-05,0.0495950404959504,9.99900009999e-05,0.033996600339966,0.372062793720628,0.307869213078692
2e,0.301869813018698,0.194480551944806,0.00239976002399755,0.194580541945805,0.404859514048595,0.00489951004899514,0.156984301569843,0.0314968503149685,0.001999800019998,0.306469353064694
3,0.0521947805219478,0.0308969103089691,0.00409959004099592,9.99900009999e-05,0.333966603339666,0.00689931006899314,0.276872312768723,0.00439956004399555,0.217878212178782,0.43015698430157
4,0.00029997000299975,9.99900009999e-05,0.0426957304269573,0.0121987801219878,0.0744925507449255,9.99900009999e-05,9.99900009999e-05,0.00779922007799216,0.1996800319968,0.0744925507449255
5,0.0675932406759324,0.0625937406259374,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,9.99900009999e-05,0.005999400059994,0.172482751724828,0.000999900009999,9.99900009999e-05
6a,0.475852414758524,0.0651934806519348,0.165283471652835,0.0005999400059994,9.99900009999e-05,0.0885911408859114,0.0234976502349765,0.402259774022598,0.0474952504749525,0.0130986901309869
6e,0.0368963103689631,0.0625937406259374,0.339366063393661,0.11968803119688,0.158184181581842,0.00319968003199678,0.156284371562844,0.0283971602839717,0.436456354364564,0.0076992300769923
7,0.0108989101089891,0.279272072792721,0.206679332066793,0.219478052194781,0.407459254074593,0.000699930006999305,0.241075892410759,0.320767923207679,0.106089391060894,0.0564943505649435
8,0.0870912908709129,0.389161083891611,0.173182681731827,0.0753924607539246,0.409359064093591,0.00029997000299975,0.00029997000299975,0.216278372162784,0.465353464653535,0.416458354164584
